RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
8798,40B051000,2307,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,01,LOT 14 BK H SEC 3 THE MEADOWS,0.485,694
8799,40B052000,2305,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 15 BK H SEC 3 THE MEADOWS,0.527,711
8800,40B053000,2303,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 16 BK H SEC 3 THE MEADOWS,0.36,724
8801,40B054000,2300,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 2 BK G SEC 3 THE MEADOWS,0.367,690
8802,40B055000,2302,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 BK G SEC 3 THE MEADOWS,0.367,674
8803,40B056000,2304,DELLMEAD LN,,3.0 Multi-Family,Taxable,R-1,,LOT 4 BK G SEC 3 THE MEADOWS,0.367,658
8804,40B057000,2306,DELLMEAD LN,,3.0 Multi-Family,Taxable,R-1,,LOT 5 BK G SEC 3 THE MEADOWS,0.349,644
8805,40B058000,2308,DELLMEAD LN,,3.0 Multi-Family,Taxable,R-1,,LOT 6 BK G SEC 3 THE MEADOWS,0.336,620
8806,40B059000,1613,RICKY RD,,3.0 Multi-Family,Taxable,R-1,,LOT 7 BK G SEC 3 THE MEADOWS,0.325,603
8807,40B060000,1614,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 2&PT 1 BK I THE MEADOWS,0.364,557
8808,40B061000,1612,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 BK I SEC 3 THE MEADOWS,0.349,574
8809,40B062000,1610,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 BK I SEC 3 THE MEADOWS,0.349,588
8810,40B063000,1608,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 BK I SEC 3 THE MEADOWS,0.349,611
8811,40B064000,1606,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 6 BK I SEC 3 THE MEADOWS,0.34,630
8812,40B065000,1604,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 7 BK I SEC 3 THE MEADOWS,0.349,650
8813,40B066000,1602,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 8 BK I SEC 3 THE MEADOWS,0.349,666
8814,40B067000,1600,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 9 BK I SEC 3 THE MEADOWS,0.39,687
8815,40B070100,1243,CEDARS CT,A-1,1.0 Residential (Urban),Taxable,URB,,UNIT A-1 CEDARS COURT CONDO,0,997
8816,40B070101,1243,CEDARS CT,B-3,1.0 Residential (Urban),Taxable,URB,,UNIT B-3 CEDARS COURT CONDO,0,997
8817,40B070110,1243,CEDARS CT,B-4,1.0 Residential (Urban),Taxable,URB,,UNIT B-4 CEDARS COURT CONDO,0,997
8818,40B070120,1243,CEDARS CT,B-5,1.0 Residential (Urban),Taxable,URB,,UNIT B-5 CEDARS COURT CONDO,0,997
8819,40B070130,1243,CEDARS CT,B-6,1.0 Residential (Urban),Taxable,URB,,UNIT B-6 CEDARS COURT CONDO,0,997
8820,40B070140,1243,CEDARS CT,B-7,1.0 Residential (Urban),Taxable,URB,,UNIT B-7 CEDARS COURT CONDO,0,997
8821,40B070150,1243,CEDARS CT,B-8,1.0 Residential (Urban),Taxable,URB,,UNIT B-8 CEDARS COURT CONDO,0,997
8822,40B070160,1243,CEDARS CT,B-9,1.0 Residential (Urban),Taxable,URB,,UNIT B-9 CEDARS COURT CONDO,0,997
8823,40B070170,1243,CEDARS CT,B-10,1.0 Residential (Urban),Taxable,URB,,UNIT B-10 CEDARS COURT CONDO,0,997
