RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
2257,180015301,2407,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1961,6,3,0,2,0,1064,532,Full Basement,Brick Veneer,1.00,1064
2258,180015310,2405,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1961,9,5,0,2,0,1025,756,Full Basement,Aluminum,1.00,1025
2259,180015400,132,STRIBLING AVE,,Duplex,2 Story,C,Shingles,Hardwood,Gas Wall Unit,0,1967,8,4,2,2,0,0,0,Partial Basement,Brick Veneer,2.00,1964
2260,180015500,2404,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1961,6,3,0,1,0,1094,0,Full Basement,Brick Veneer,1.00,1094
2261,180015600,2406,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1961,5,3,0,1,0,968,,Full Basement,Brick Veneer,1.00,968
2262,180015700,2408,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1960,6,3,0,1,0,991,850,Full Basement,Brick Veneer,1.00,991
2263,180015800,2410,SUNSET RD,,Single Family-1 Conversion,1 Story,C,Architectural Shingles,Hardwood,Forced Air,0,1961,6,4,0,3,0,971,971,Full Basement,Brick Veneer,1.00,962
2264,180015900,2412,SUNSET RD,,Single Family,1 Story,C,Shingles,Other,Forced Air,2,1964,6,3,1,1,0,1162,0,Full Basement,Brick Veneer,1.00,1162
2265,180016000,209,SUNSET AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1953,6,2,0,2,0,698,0,Full Basement,Asbestos,1.00,698
2266,180017000,130,STRIBLING AVE,,Single Family,2 Story,C,Shingles,Hardwood,Hot Water Radiator,2,1914,11,4,1,4,0,1498,1236,Partial Basement,Stucco,2.00,2980
2267,180017100,207,SUNSET AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1955,6,4,0,2,0,968,768,Full Basement,Wood,1.00,968
2268,180017200,205,SUNSET AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1954,7,3,0,2,0,878,439,Full Basement,Wood,1.00,878
2269,180017300,128,STRIBLING AVE,,Single Family-1 Conversion,1.5 Story,C,Shakes,Hardwood,Baseboard,0,1981,8,4,0,2,0,931,931,Full Basement,Wood,1.50,1166
2270,180018000,124,STRIBLING AVE,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,1,1920,9,4,0,2,0,432,,Partial Basement,Stucco,2.00,1540
2271,180018100,126,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Other,Forced Air,1,1957,7,4,0,2,0,518,0,Partial Basement,Brick Veneer,1.00,1363
2272,180019000,120,STRIBLING AVE,,Single Family,2 Story,C,Shingles,Hardwood,Forced Air,1,1920,7,4,0,2,0,561,0,Partial Basement,Stucco,2.00,1916
2273,180020000,116,STRIBLING AVE,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1943,6,3,1,1,0,409,0,Partial Basement,Aluminum,2.00,1626
2274,180021000,112,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,2,1959,7,4,0,3,0,1552,388,Partial Basement,Brick Veneer,1.00,1929
2275,180022000,2303,JEFFERSON PARK AVE,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1900,8,4,0,2,0,0,0,No Basement,Aluminum,2.00,2483
2276,180022100,110,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1956,6,2,0,2,0,1118,500,Full Basement,Brick Veneer,1.00,1118
2277,180023000,2307,JEFFERSON PARK AVE,,Single Family-1 Conversion,1.5 Story,B,Slate,Hardwood,Hot Water Radiator,1,1919,9,6,0,2,0,1332,,Full Basement,Brick Veneer,1.66,2012
2278,180023000,2307,JEFFERSON PARK AVE,,Single Family-1 Conversion,1 Story,C,Shingles,None,Gas Wall Unit,0,1950,4,2,0,1,0,,,No Basement,Stucco,1.00,658
2279,180024000,2309,JEFFERSON PARK AVE,,Single Family,1.5 Story,B,Slate,Hardwood,Hot Water Radiator,1,1920,8,3,0,2,0,1156,,Full Basement,Brick Veneer,1.75,2023
2280,180025000,2401,JEFFERSON PARK AVE,,Single Family,1.5 Story,B,Metal,Hardwood,Hot Water Radiator,2,1920,6,3,1,2,0,627,0,Partial Basement,Brick Veneer,1.50,1907
2281,180026000,2405,JEFFERSON PARK AVE,,Single Family-1 Conversion,2 Story,A,Metal,Hardwood,Hot Water Radiator,2,1920,10,4,0,2,0,1354,0,Full Basement,Brick Veneer,2.00,2708
