GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
10378,250030000,1,1994,NA,Single Family,1,Residential
10379,22A021000,1,1963,NA,Single Family,1,Residential
1038,41A001210,1,1990,NA,Single Family,1,Residential
10380,590029000 | 590029000 | 590029000,3,1920,480,Market | Market | Market,2,Commercial | Residential | Residential
10381,250082000,1,1945,NA,Single Family,1,Residential
10382,590217000,1,1925,NA,Single Family-1 Conversion,1,Residential
10383,240074000,1,1966,NA,Single Family,1,Residential
10385,210084000,1,1940,NA,Single Family,1,Residential
10386,55A142000,1,1998,NA,Single Family,1,Residential
10387,240101000,1,1967,NA,Single Family,1,Residential
10388,580212100,1,1960,NA,Single Family,1,Residential
10389,240182000,1,1979,NA,Single Family Attached,2,Residential
1039,41A001190,1,1986,NA,Single Family,1,Residential
10390,240151000,1,1978,NA,Single Family Attached,2,Residential
10391,590020000,1,1900,NA,Single Family,1,Residential
10392,590030000,1,1957,NA,Single Family,1,Residential
10393,270091201,1,2004,NA,Single Family,1,Residential
10394,270055000,1,1969,NA,Single Family,1,Residential
10395,250028200,1,1965,NA,Single Family-1 Conversion,1,Residential
10396,270053000,1,1946,NA,Duplex,1,Residential
10397,560119300,1,1991,NA,Single Family Attached,2,Residential
10398,270091700,1,2004,NA,Single Family,1,Residential
104,42C045000,1,1967,NA,Single Family,1,Residential
1040,41A001201,1,1986,NA,Single Family,1,Residential
10400,210131200,1,2010,NA,Single Family,1,Residential
10401,570123110,1,1961,NA,Single Family,1,Residential
10402,22A068000,1,1963,NA,Single Family,1,Residential
10403,590225000,1,1925,NA,Single Family-1 Conversion,1,Residential
10404,570125000,1,1925,NA,Single Family,1,Residential
10406,55A136000,1,1960,NA,Single Family,1,Residential
10407,570064000,1,1928,NA,Single Family,1,Residential
10408,220157000,1,1920,NA,Single Family,1,Residential
10409,240228000,1,1975,NA,Single Family Attached,2,Residential
1041,42A027000,1,1961,NA,Single Family,1,Residential
10410,590216000,1,1925,NA,Single Family,1,Residential
10411,18A017000,1,1960,NA,Single Family,1,Residential
10412,250029000,1,1925,NA,Single Family,1,Residential
10413,560119400,1,1991,NA,Single Family Attached,2,Residential
10414,250085000,1,1925,NA,Single Family,1,Residential
10415,180027000 | 180027000,2,1910,NA,Single Family-1 Conversion | Single Family-1 Conversion,1,Residential | Residential
10416,240070000,1,1968,NA,Single Family,1,Residential
10417,270045000,1,1947,NA,Single Family,1,Residential
10418,580213000,1,1923,NA,Single Family-1 Conversion,1,Residential
10419,590031000,1,2017,NA,Single Family,1,Residential
1042,43B024000,1,1962,NA,Single Family,1,Residential
10420,180015200,1,1960,NA,Single Family,1,Residential
10421,210087000,1,NA,NA,Vacant Land,0,Residential
10422,220144100,1,2010,NA,Single Family,1,Residential
10423,560120000,1,1920,NA,Single Family,1,Residential
10424,270056000,1,1946,NA,Duplex,1,Residential
10425,210115100,1,1972,NA,Duplex,1,Residential
10426,18A018000,1,1948,NA,Single Family,1,Residential
10427,240152000,1,1978,NA,Single Family Attached,2,Residential
10428,240181000,1,1978,NA,Single Family Attached,2,Residential
10429,590215000,1,1924,NA,Single Family,1,Residential
1043,42A044000,1,1960,NA,Single Family,1,Residential
10430,22A033000,1,1975,NA,Single Family,1,Residential
10431,590018000,1,1925,NA,Single Family,1,Residential
10432,22A055000,1,1963,NA,Single Family,1,Residential
10433,590225100,1,1991,NA,Duplex,1,Residential
10435,240114000,1,1983,NA,Duplex,1,Residential
10436,570124000,1,1989,5248,Group Care Home,3,Commercial
10437,270091190,1,2004,NA,Single Family,1,Residential
10438,250004200,1,1957,NA,Single Family Attached,2,Residential
10439,240229000,1,1975,NA,Single Family Attached,2,Residential
1044,42A074000,1,1956,NA,Single Family,1,Residential
10440,270091800,1,2004,NA,Single Family,1,Residential
10441,210131300,1,2009,NA,Single Family,1,Residential
10442,22A067000,1,1962,NA,Single Family-1 Conversion,1,Residential
10443,580214000,1,1936,NA,Single Family-1 Conversion,1,Residential
10444,210086000,1,1925,NA,Single Family,1,Residential
10445,240073000,1,1967,NA,Single Family,1,Residential
10446,270038000,1,1946,NA,Single Family,1,Residential
10447,18A019000,1,1970,NA,Duplex,1,Residential
10448,590214000,1,1925,NA,Single Family,1,Residential
10449,590032000 | 590032000,2,1940,NA,Single Family | Single Family,1,Residential | Residential
1045,41A068000,1,1956,NA,Single Family,1,Residential
10450,180015100,1,1961,NA,Single Family,1,Residential
10451,210132000,1,1950,NA,Single Family-1 Conversion,1,Residential
10452,570123101,1,1962,NA,Single Family,1,Residential
10453,270057000,1,1946,NA,Single Family,1,Residential
10454,260001000,1,1871,NA,Single Family,1,Residential
10455,240071000,1,1969,NA,Single Family,1,Residential
10457,560121000,1,1920,NA,Single Family,1,Residential
10458,240180000,1,1978,NA,Single Family Attached,2,Residential
