GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
4411,080051000,1,1932,NA,Single Family,1,Residential
4412,510004100,1,NA,NA,Vacant Land,0,Residential
4413,520016900,1,1976,NA,Single Family,1,Residential
4414,040069000,1,NA,NA,Vacant Land,0,Residential
4415,480118000,1,1955,NA,Single Family,1,Residential
4416,490050000,1,1968,NA,Duplex,1,Residential
4417,040047000,1,2006,NA,Single Family,1,Residential
4418,340030200,1,1961,NA,Single Family,1,Residential
4419,360028000,1,1920,NA,Duplex,1,Residential
442,41B002000,1,1964,123336,Retail Store,1,Commercial
4420,490052000,1,1948,NA,Single Family,1,Residential
4421,040050000,1,1920,NA,Single Family,1,Residential
4422,520016300,1,1971,NA,Single Family,1,Residential
4423,360067000,1,1920,NA,Duplex,1,Residential
4424,350073000,1,1907,NA,Single Family,1,Residential
4425,510001200,1,1984,NA,Duplex,1,Residential
4426,350111000,1,1953,4020,Service Repair Garage,1,Commercial
4427,350028000,1,1925,NA,Single Family,1,Residential
4428,080050000,1,1938,NA,Single Family,1,Residential
4429,090123000,1,1987,5008,Apartments 11-20 Units,2,Commercial
443,41D042000,1,1963,NA,Single Family,1,Residential
4430,360092000,1,1997,NA,Single Family,1,Residential
4431,130073000 | 130073000 | 130073000,3,1966,30678,Church | Church | Church,1,Commercial | Commercial | Commercial
4432,510002000,1,1900,NA,Single Family,1,Residential
4433,090039000 | 090039000,2,1925,NA,Single Family | Single Family,1,Residential | Residential
4434,040046000,1,1939,2126,Church,1,Commercial
4435,090025000,1,1971,NA,Duplex,1,Residential
4436,490104100,1,1990,NA,Single Family Attached,2,Residential
4437,490038000,1,1950,NA,Single Family,1,Residential
4438,350078000,1,1900,NA,Single Family,1,Residential
4439,520042000,1,1946,NA,Single Family-1 Conversion,1,Residential
444,40C029000,1,1961,NA,Single Family,1,Residential
4440,350033000,1,1966,11108,Apartments 11-20 Units,2,Commercial
4441,520031000,1,1941,NA,Single Family,1,Residential
4442,490049000,1,1949,NA,Single Family,1,Residential
4443,490027110,1,1950,NA,Single Family,1,Residential
4445,520021000,1,1949,NA,Single Family,1,Residential
4446,040135000,1,1992,NA,Single Family,1,Residential
4447,040068000,1,1920,NA,Single Family,1,Residential
4448,480106000,1,1952,NA,Single Family,1,Residential
4449,350072000,1,NA,NA,Vacant Land,0,Residential
445,43C036000,1,1960,NA,Single Family,1,Residential
4450,480114000,1,NA,NA,Vacant Land,0,Residential
4451,040080000,1,1979,NA,Single Family,1,Residential
4452,510005100,1,2003,NA,Single Family,1,Residential
4453,040051000,1,NA,NA,Vacant Land,0,Residential
4454,090122000,1,1920,NA,Apartments 1-10 units,2,Commercial
4455,040075000,1,1932,NA,Single Family,1,Residential
4456,360068000,1,NA,NA,Vacant Land,0,Residential
4459,040136000,1,1983,NA,Single Family,1,Residential
446,42B108000,1,1961,NA,Single Family,1,Residential
4460,490235000,1,NA,NA,Vacant Land,0,Residential
4461,490104000,1,1950,NA,Single Family,1,Residential
4462,490053000,1,1955,NA,Single Family-1 Conversion,1,Residential
4463,080049000,1,1935,NA,Single Family,1,Residential
4464,520032000,1,1942,NA,Single Family,1,Residential
4465,520016800,1,1976,NA,Single Family,1,Residential
4466,480111000,1,1941,NA,Single Family,1,Residential
4467,350071000,1,1900,NA,Single Family,1,Residential
4469,350080000,1,1900,NA,Single Family,1,Residential
447,41D027000,1,1958,NA,Single Family-1 Conversion,1,Residential
4470,490039000,1,1946,NA,Single Family-1 Conversion,1,Residential
4471,360093000,1,1920,NA,Single Family,1,Residential
4472,490110000,1,1954,2400,Retail Store,1,Commercial
4474,490048000,1,1942,NA,Single Family-1 Conversion,1,Residential
4476,340027000,1,1940,NA,Single Family,1,Residential
4477,350114000 | 350114000 | 350114000 | 350114000 | 350114000 | 350114000,6,1998,10000,490 Land | 490 Land | 490 Land | Kennels | Kennels | Kennels,1,Commercial | Commercial | Commercial | Commercial | Commercial | Commercial
4478,360089000,1,1920,NA,Single Family,1,Residential
4479,520016400,1,1963,NA,Single Family,1,Residential
448,41B015700,1,NA,NA,Parking Lot,0,Residential
4480,090145000,1,1920,NA,Fraternity\Sorority House,2,Residential
4481,350112000,1,1920,832,Commercial,2,Commercial
4482,090040100,1,1971,NA,Duplex,1,Residential
4483,520083000,1,1938,NA,Single Family,1,Residential
4484,040137000,1,1997,NA,Single Family,1,Residential
4485,090144000 | 090144000,2,1905,11700,Office Building | Office Building,2,Commercial | Commercial
4486,340030100,1,1958,NA,Single Family,1,Residential
4487,130056200,1,1949,NA,Single Family-1 Conversion,1,Residential
4488,130057000,1,1948,NA,Duplex,1,Residential
449,40C070000,1,1965,NA,Duplex,1,Residential
4490,490053100,1,1955,NA,Single Family,1,Residential
4492,130056100,1,1949,NA,Single Family-3 Conversion,2,Residential
4493,130058000,1,1940,NA,Single Family,1,Residential
4494,080048000 | 080048000,2,1950,NA,Single Family | Single Family,1,Residential | Residential
4495,040143000,1,1920,NA,Duplex,1,Residential
4496,520020000,1,1952,NA,Single Family,1,Residential
4497,090127000,1,1920,NA,Fraternity\Sorority House,2,Residential
4498,360069000,1,NA,NA,Vacant Land,0,Residential
4499,510006200,1,1970,NA,Single Family,1,Residential
45,41C002000 | 41C002000,2,1972,82892,Post Office (Main) | Post Office (Main),1,Commercial | Commercial
450,40C017000,1,1959,NA,Single Family-1 Conversion,1,Residential
4500,350070000 | 350070000,2,1925,NA,Vacant Land | Vacant Land,0,Residential | Residential
4501,130056000,1,1954,NA,Single Family-1 Conversion,1,Residential
4502,350069000 | 350069000,2,1953,4866,Office Building | Office Building,2,Commercial | Commercial
4504,040052000,1,1908,NA,Single Family,1,Residential
4505,090023000,1,1941,NA,Duplex,1,Residential
4506,130059000,1,1936,NA,Single Family,1,Residential
4507,040067000,1,2014,NA,Single Family,1,Residential
4509,490040000,1,1946,NA,Single Family,1,Residential
451,40C096000,1,1960,NA,Duplex,1,Residential
4510,310060000 | 310060000,2,1937,86971,Multiple Commercial Use | Multiple Commercial Use,2,Commercial | Commercial
4512,340011000 | 340011000 | 340011000,3,1990,1518,Convenience Market | Convenience Market | Convenience Market,1,Commercial | Commercial | Commercial
4513,040076000,1,1950,NA,Single Family,1,Residential
4514,130055000,1,1953,NA,Single Family,1,Residential
4515,360088000 | 360088000,2,1920,NA,Vacant Land | Vacant Land,0,Residential | Residential
4516,480108100,1,1958,NA,Single Family,1,Residential
4517,520033000,1,1941,NA,Single Family,1,Residential
4518,040144000,1,1950,3410,Apartments 1-10 units,2,Commercial
452,42B099000,1,1957,NA,Single Family,1,Residential
4521,130055100,1,1954,NA,Single Family,1,Residential
4522,130060000,1,1920,NA,Single Family,1,Residential
4523,080045000 | 080045000,2,1920,24156,Office Building | Office Building,2,Commercial | Commercial
4524,360094000,1,1920,NA,Single Family,1,Residential
4526,490053200,1,1955,NA,Single Family,1,Residential
4527,490047000,1,1938,NA,Single Family-1 Conversion,1,Residential
4528,130054000,1,1953,NA,Duplex,1,Residential
4529,480112000,1,1948,NA,Single Family,1,Residential
453,41D011000,1,1958,NA,Single Family,1,Residential
4530,090024000,1,1941,NA,Duplex,1,Residential
4531,520054000,1,1936,NA,Single Family,1,Residential
4532,130054100,1,1952,NA,Single Family,1,Residential
4533,510003000,1,1929,NA,Single Family,1,Residential
4535,520041000,1,1955,NA,Single Family-1 Conversion,1,Residential
4536,490103200,1,1968,NA,Single Family,1,Residential
4537,520016700,1,NA,NA,Vacant Land,0,Residential
4538,090129000,1,1900,NA,Fraternity\Sorority House,2,Residential
4539,490236000 | 490236000,2,1958,3588,Office Building | Office Building,2,Commercial | Commercial
454,43C047000,1,1959,NA,Single Family,1,Residential
4541,040145000,1,1950,3322,Apartments 1-10 units,2,Commercial
4542,520016500,1,1969,NA,Single Family,1,Residential
4543,090119000 | 090119000 | 090119000,3,1920,NA,Apartments over 20 units | Apartments over 20 units | Apartments over 20 units,2,Commercial | Residential | Residential
4544,130053000,1,1951,NA,Single Family,1,Residential
4545,490040100,1,1961,NA,Single Family,1,Residential
4547,360087000 | 360087000,2,1920,NA,Vacant Land | Vacant Land,0,Residential | Residential
4548,360070000,1,1948,3124,Retail Store,1,Commercial
4549,040138000,1,1920,NA,Single Family,1,Residential
455,43C029000,1,1967,NA,Single Family,1,Residential
4550,520018000,1,1947,NA,Single Family,1,Residential
4551,130061000,1,1920,NA,Single Family,1,Residential
4552,490064000,1,1951,NA,Single Family,1,Residential
4553,130051000,1,1955,NA,Single Family,1,Residential
4554,350079000,1,1945,NA,Single Family,1,Residential
4555,490053300,1,1955,NA,Single Family,1,Residential
4557,130051100,1,2012,NA,Single Family,1,Residential
4558,090040000,1,1920,NA,Single Family,1,Residential
4559,040066000,1,1948,NA,Single Family,1,Residential
456,40C108000,1,1963,NA,Duplex,1,Residential
4561,040146000,1,1920,NA,Single Family,1,Residential
4562,510004000,1,1925,NA,Single Family-1 Conversion,1,Residential
4563,490109000,1,1953,22000,Storage Warehouse,1,Commercial
4564,510006100,1,1970,NA,Single Family,1,Residential
4566,040054000,1,1950,NA,Single Family,1,Residential
4567,360095000,1,NA,NA,Vacant Land,0,Residential
4568,340028000,1,1963,NA,Duplex,1,Residential
4569,090128000,1,1961,NA,Apartments 1-10 units,2,Commercial
457,40C058000,1,1959,NA,Single Family,1,Residential
4570,130062000,1,1920,NA,Single Family,1,Residential
4571,090118000,1,1930,NA,Single Family,1,Residential
4572,340028300,1,1985,NA,Single Family,1,Residential
4573,350067100 | 350067100,2,1967,1394,Restaurant | Restaurant,1,Commercial | Commercial
4574,520055000,1,1921,NA,Single Family,1,Residential
4575,040077000,1,1954,NA,Single Family,1,Residential
4576,490046000,1,1946,NA,Single Family,1,Residential
4578,490053400,1,1955,NA,Single Family,1,Residential
4579,490103100,1,1968,NA,Single Family-1 Conversion,1,Residential
458,43B102000,1,1965,NA,Single Family,1,Residential
4580,350062000,1,NA,NA,Parking Lot,0,Residential
4581,520034000,1,1940,NA,Single Family,1,Residential
4582,360086000,1,1920,NA,Single Family,1,Residential
4583,340013100,1,NA,NA,Vacant Land,0,Residential
4585,350067000,1,1953,5208,Office Building,2,Commercial
4588,350036000,1,1925,NA,Single Family,1,Residential
4589,340010000 | 340010000,2,1948,2327,Office Building | Office Building,2,Commercial | Commercial
459,40C111000,1,1962,NA,Single Family,1,Residential
4590,480119000,1,1955,NA,Single Family,1,Residential
4591,360071000 | 360071000,2,1920,NA,Vacant Land | Vacant Land,0,Residential | Residential
4592,040142000,1,1955,3430,Apartments 1-10 units,2,Commercial
4593,480117100,1,1953,NA,Single Family,1,Residential
4594,520016600,1,1963,NA,Single Family,1,Residential
4595,480115000,1,NA,NA,Vacant Land,0,Residential
4596,040139000,1,NA,NA,Vacant Land,0,Residential
4597,090117000,1,1932,NA,Single Family,1,Residential
4598,090130000,1,1920,NA,Fraternity\Sorority House,2,Residential
4599,490065000,1,1965,6449,Church,1,Commercial
460,40C028000,1,1959,NA,Single Family,1,Residential
4600,520017400,1,1964,NA,Single Family,1,Residential
4601,490045000,1,1946,NA,Single Family,1,Residential
4602,490053500,1,1955,NA,Single Family-1 Conversion,1,Residential
4603,040053000,1,1925,NA,Single Family,1,Residential
4605,510005000,1,NA,NA,Vacant Land,0,Residential
4606,120012000,1,1923,NA,Single Family,1,Residential
4607,350045000,1,1955,2500,Retail Store,1,Commercial
4608,520040000,1,1957,NA,Single Family-1 Conversion,1,Residential
4609,360096000,1,NA,NA,Vacant Land,0,Residential
461,41D067000,1,1958,NA,Single Family,1,Residential
4610,510007200,1,NA,NA,Vacant Land,0,Residential
4611,090041000,1,1926,NA,Duplex,1,Residential
4613,040078000 | 040078000,2,1941,NA,Single Family-1 Conversion | Single Family-1 Conversion,1,Residential | Residential
4614,040065000,1,1920,NA,Single Family,1,Residential
4615,340030300,1,1956,NA,Single Family,1,Residential
4616,040147000,1,2004,NA,Single Family,1,Residential
4617,490103000,1,1968,NA,Single Family,1,Residential
4618,490063900,1,1955,NA,Single Family,1,Residential
462,41D026000,1,1964,NA,Single Family,1,Residential
4620,350037000,1,1925,NA,Single Family,1,Residential
4621,360085000,1,2002,NA,Single Family,1,Residential
4622,350063000 | 350063000,2,1951,3350,Office Building | Office Building,2,Commercial | Commercial
4623,490054000,1,1970,NA,Duplex,1,Residential
4624,510097000,1,1935,NA,Single Family-1 Conversion,1,Residential
4625,130070000,1,1951,NA,Single Family,1,Residential
4626,490044000,1,1948,NA,Single Family-1 Conversion,1,Residential
4627,130071000,1,1935,NA,Single Family,1,Residential
4628,120011000,1,1938,NA,Duplex,1,Residential
4629,360072000,1,1900,NA,Single Family,1,Residential
463,43B088000,1,1965,NA,Single Family,1,Residential
4630,040056000,1,NA,NA,Vacant Land,0,Residential
4631,090042000,1,1921,NA,Single Family,1,Residential
4632,130069000,1,1952,NA,Duplex,1,Residential
4633,490237000 | 490237000,2,1953,4725,Office Building | Office Building,2,Commercial | Commercial
4634,350066000,1,1900,NA,Single Family,1,Residential
4635,510007100,1,1960,NA,Single Family,1,Residential
4636,520017500,1,NA,NA,Vacant Land,0,Residential
4637,130068000,1,1951,NA,Single Family,1,Residential
4638,480117000,1,1949,NA,Single Family-1 Conversion,1,Residential
464,43C035000,1,1962,NA,Single Family,1,Residential
4640,350038000,1,1925,NA,Single Family,1,Residential
4641,090109000 | 090109000,2,1900,NA,Fraternity\Sorority House | Fraternity\Sorority House,2,Residential | Residential
4642,520017600,1,1963,NA,Single Family,1,Residential
4643,130067000,1,1951,NA,Single Family,1,Residential
4644,120010000,1,1921,NA,Duplex,1,Residential
4645,510006000,1,1900,NA,Single Family,1,Residential
4646,040139100,1,NA,NA,Vacant Land,0,Residential
4647,340028100,1,1960,NA,Duplex,1,Residential
4648,490054100,1,1970,NA,Duplex,1,Residential
4649,040055000,1,1920,NA,Duplex,1,Residential
465,41D047000,1,1964,NA,Single Family,1,Residential
4650,090044000,1,1892,NA,Fraternity\Sorority House,2,Residential
4651,490043000,1,1951,NA,Single Family-2 Conversion,2,Residential
4652,520082000,1,1955,NA,Single Family,1,Residential
4653,350064100 | 350064100 | 350064100,3,1950,3388,Office Building | Office Building | Office Building,2,Commercial | Commercial | Commercial
4655,040079000,1,NA,NA,Vacant Land,0,Residential
4656,490102000,1,1972,NA,Single Family,1,Residential
4657,130072100,1,1954,NA,Single Family,1,Residential
4658,490063000,1,1956,NA,Single Family,1,Residential
4659,360084000 | 360084000,2,1920,NA,Vacant Land | Vacant Land,0,Residential | Residential
466,41D048000,1,1962,NA,Single Family,1,Residential
4660,520035000,1,1940,NA,Single Family,1,Residential
4661,040064000,1,1920,NA,Single Family,1,Residential
4662,040148000 | 040148000,2,1920,NA,Vacant Land | Vacant Land,0,Residential | Residential
4663,120009000 | 120009000,2,1939,NA,Single Family | Single Family,1,Residential | Residential
4664,340030000,1,1954,NA,Single Family,1,Residential
4665,350039100,1,NA,NA,Vacant Land,0,Residential
4666,480120000,1,1950,NA,Single Family-1 Conversion,1,Residential
4667,520019000,1,1951,NA,Single Family-1 Conversion,1,Residential
4668,490108000 | 490108000,2,1948,1110,Office Building | Office Building,2,Commercial | Commercial
4669,130072000,1,1956,NA,Single Family,1,Residential
467,42B107000,1,1958,NA,Single Family,1,Residential
4670,130066000,1,1949,NA,Single Family-3 Conversion,2,Residential
4671,090131000,1,1902,NA,Fraternity\Sorority House,2,Residential
4672,360073000,1,1900,NA,Single Family,1,Residential
4673,040141000,1,1940,NA,Single Family,1,Residential
4674,490055100,1,1959,NA,Single Family,1,Residential
4675,040140000,1,1933,NA,Single Family,1,Residential
4676,350039000,1,1925,NA,Single Family,1,Residential
4677,490042000,1,1947,NA,Single Family,1,Residential
4678,510096000,1,1935,NA,Single Family,1,Residential
4679,040057000,1,1963,NA,Single Family,1,Residential
468,41D043000,1,1969,NA,Single Family,1,Residential
4681,510009000,1,2007,NA,Single Family,1,Residential
4682,090116000,1,1932,NA,Single Family,1,Residential
4683,340030400,1,1956,NA,Single Family,1,Residential
4684,120008000,1,1947,NA,Single Family,1,Residential
4685,340042000,1,1953,NA,Single Family-1 Conversion,1,Residential
4686,350115000,1,NA,NA,Vacant Land,0,Residential
4687,040120000,1,2004,4569,Apartments over 20 units,2,Commercial
4688,340043000,1,1948,NA,Single Family,1,Residential
4689,480116000,1,1950,NA,Single Family-1 Conversion,1,Residential
469,42B030000,1,1959,NA,Single Family,1,Residential
4690,040141100,1,1940,NA,Single Family,1,Residential
4691,350046000 | 350046000,2,1950,1120,Office Building | Office Building,2,Commercial | Commercial
4692,520039000,1,1967,NA,Single Family-1 Conversion,1,Residential
4693,520056000,1,1840,NA,Single Family,1,Residential
4695,130065000,1,1957,NA,Single Family,1,Residential
4696,490055000,1,1987,NA,Single Family,1,Residential
4697,340008000 | 340008000 | 340008000 | 340008000,4,1957,4370,Office Building | Office Building | Office Building | Office Building,2,Commercial | Commercial | Commercial | Commercial
4698,520079000,1,1952,NA,Single Family-1 Conversion,1,Residential
4699,520086000,1,1938,NA,Single Family,1,Residential
47,42C122000,1,1973,NA,Single Family,1,Residential
470,40C012100,1,2001,3623,Mini-Mart Convenience Store,1,Commercial
4700,310057000,1,1950,29008,Retail Store,1,Commercial
4701,490063800,1,1955,NA,Single Family,1,Residential
4702,040122000,1,1926,NA,Single Family,1,Residential
4703,490041000,1,1945,NA,Single Family-1 Conversion,1,Residential
4705,120007000,1,1949,NA,Single Family-1 Conversion,1,Residential
4706,040063000,1,1920,NA,Single Family,1,Residential
4707,040141200,1,1940,NA,Single Family,1,Residential
4708,090043000,1,1941,NA,Duplex,1,Residential
4709,040132000,1,NA,NA,Vacant Land,0,Residential
471,41D046000,1,1962,NA,Single Family,1,Residential
4710,490102100,1,1970,NA,Single Family-1 Conversion,1,Residential
4711,520080000,1,1945,NA,Single Family,1,Residential
4712,350043000,1,1983,4000,Service Repair Garage,1,Commercial
4713,350064000 | 350064000,2,1930,5625,Office Building | Office Building,2,Commercial | Commercial
4714,040058000,1,1953,NA,Single Family,1,Residential
4715,480121000,1,1947,NA,Single Family,1,Residential
4716,340028200,1,1962,NA,Duplex,1,Residential
4717,130064000,1,1949,NA,Single Family,1,Residential
4718,350116000 | 350116000 | 350116000,3,1970,3295,Retail Store | Retail Store | Retail Store,1,Commercial | Commercial | Commercial
4719,360074000 | 360074000,2,1900,NA,Vacant Land | Vacant Land,0,Residential | Residential
472,40C018000,1,1960,NA,Single Family,1,Residential
4720,040059000 | 040059000,2,1920,NA,Vacant Land | Vacant Land,0,Residential | Residential
4721,520087000,1,1950,NA,Single Family,1,Residential
4722,510098000,1,1941,NA,Single Family,1,Residential
4723,090132000,1,1900,NA,Fraternity\Sorority House,2,Residential
4724,520017300,1,1964,NA,Single Family,1,Residential
4725,340010100,1,1953,7238,Storage Warehouse,1,Commercial
4726,350047000,1,1954,1224,Office Building,2,Commercial
4727,340031000,1,1941,NA,Single Family,1,Residential
4728,340046000,1,1951,NA,Single Family,1,Residential
4729,480124000,1,NA,NA,Vacant Land,0,Residential
473,41D012000,1,1956,NA,Single Family,1,Residential
4731,340007000,1,NA,NA,Parking Lot,0,Residential
4732,350060000,1,NA,NA,Vacant Land,0,Residential
4733,120006000 | 120006000,2,0,NA,Single Family | Single Family,1,Residential | Residential
4734,040149000,1,1965,NA,Single Family,1,Residential
4735,520081000,1,1951,NA,Single Family,1,Residential
4736,130063000,1,1938,NA,Single Family,1,Residential
4738,510095000,1,1931,NA,Single Family,1,Residential
474,40C100000,1,1963,NA,Single Family,1,Residential
4740,520088000,1,1947,NA,Single Family,1,Residential
4741,510007000,1,1946,NA,Single Family,1,Residential
4742,040165000,1,1925,NA,Single Family,1,Residential
4743,340081000,1,1947,NA,Single Family-1 Conversion,1,Residential
4744,490105000,1,1954,8594,Storage Warehouse,1,Commercial
4746,350065000,1,1930,1380,Office Building,2,Commercial
4747,040123000,1,1925,NA,Single Family-1 Conversion,1,Residential
4748,040061000,1,1949,NA,Single Family,1,Residential
475,40C071000,1,1967,NA,Duplex,1,Residential
4750,520017000,1,NA,NA,Vacant Land,0,Residential
4751,090045000,1,1928,NA,Single Family,1,Residential
4752,490056000,1,1956,NA,Duplex,1,Residential
4753,520037000,1,1940,NA,Single Family,1,Residential
4754,040141300,1,1940,NA,Single Family,1,Residential
4755,490102200,1,1968,NA,Duplex,1,Residential
4756,120005000,1,1952,NA,Single Family-2 Conversion,2,Residential
4757,520018100,1,2004,NA,Single Family,1,Residential
4759,480122000,1,1957,NA,Single Family,1,Residential
476,43C030000,1,1960,NA,Single Family,1,Residential
4761,520092000,1,1938,NA,Single Family,1,Residential
4763,520038000,1,1965,NA,Single Family,1,Residential
4765,490063700,1,1956,NA,Single Family,1,Residential
4767,510099000,1,2009,NA,Single Family,1,Residential
4769,350058000,1,1979,4816,Industrial Engineering,1,Commercial
477,42B100000,1,1962,NA,Single Family,1,Residential
4770,340006000,1,1958,3368,Commercial,2,Commercial
4771,090046000,1,1928,NA,Single Family,1,Residential
4773,090133000,1,NA,NA,Vacant Land,0,Residential
4774,040141400,1,1940,NA,Single Family,1,Residential
4775,340029000,1,1953,NA,Single Family,1,Residential
4776,120013000,1,1934,NA,Single Family,1,Residential
4777,090135000,1,1920,NA,Fraternity\Sorority House,2,Residential
4778,490057000,1,1957,NA,Single Family,1,Residential
4779,520036000,1,1937,NA,Single Family,1,Residential
478,41D045000,1,1969,NA,Single Family,1,Residential
4781,340041000,1,1956,NA,Single Family,1,Residential
4783,520017200,1,1963,NA,Single Family-1 Conversion,1,Residential
4784,040062000,1,1950,NA,Single Family,1,Residential
4785,040150000,1,1953,NA,Single Family,1,Residential
4786,130077000,1,2009,NA,Single Family,1,Residential
4787,040166000,1,1920,NA,Single Family,1,Residential
4788,130076000,1,1951,NA,Single Family,1,Residential
4790,490063600,1,1956,NA,Single Family,1,Residential
4791,040060000,1,NA,NA,Vacant Land,0,Residential
4792,040141500,1,1940,NA,Single Family,1,Residential
4793,120004000,1,1939,NA,Single Family,1,Residential
4794,090047000,1,1928,NA,Single Family,1,Residential
4795,510008000,1,1930,NA,Single Family,1,Residential
4796,340047000,1,1956,NA,Single Family,1,Residential
4797,130078000,1,1939,NA,Single Family,1,Residential
4799,350051000,1,1957,NA,Commercial,2,Commercial
480,42B027000,1,1958,NA,Single Family,1,Residential
4800,490101000,1,1963,NA,Single Family-1 Conversion,1,Residential
4802,360075100 | 360075101 | 360075200 | 360075300 | 360075400 | 360075500 | 360075600 | 360075700 | 360075800 | 360075900,10,1989,3867,Medical Office | Medical Office | Medical Office | Medical Office | Medical Office | Medical Office | Medical Office | Medical Office | Medical Office | Medical Office,1,Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial
4803,350049000,1,1940,1284,Retail Store,1,Commercial
4804,040125000,1,1925,NA,Single Family,1,Residential
4805,510094000,1,1910,NA,Single Family,1,Residential
4806,490057100,1,1957,NA,Duplex,1,Residential
4808,490238000,1,1963,1176,Service Repair Garage,1,Commercial
4809,350120000,1,1920,NA,Single Family,1,Residential
481,43C048000,1,1962,NA,Single Family,1,Residential
4810,510099A00,1,NA,NA,Vacant Land,0,Residential
4812,510011000,1,1970,NA,Single Family,1,Residential
4814,120014000,1,1949,NA,Single Family-3 Conversion,2,Residential
4816,480123000,1,NA,NA,Vacant Land,0,Residential
4817,130074000,1,NA,NA,Vacant Land,0,Residential
4818,090048000,1,1928,NA,Single Family,1,Residential
4819,490106000 | 490106000,2,1955,20816,Industrial Engineering | Industrial Engineering,1,Commercial | Commercial
482,41D025000,1,1962,NA,Single Family,1,Residential
4820,340032000,1,1955,NA,Single Family,1,Residential
4821,490063500,1,1956,NA,Single Family-1 Conversion,1,Residential
4822,350042000 | 350042000,2,1900,NA,Vacant Land | Vacant Land,0,Residential | Residential
4823,130073100,1,1955,NA,Single Family,1,Residential
4824,040164000,1,1923,NA,Single Family,1,Residential
4825,520091000,1,1934,NA,Single Family,1,Residential
4826,350052000,1,1920,NA,Single Family,1,Residential
4827,340080000,1,1952,NA,Single Family,1,Residential
4828,120001000 | 120001000 | 120001000 | 120003000,4,1940,4564,Classroom  (Elem/2nd Sch) | Classroom  (Elem/2nd Sch) | Classroom  (Elem/2nd Sch) | Single Family,2,Commercial | Commercial | Commercial | Residential
4829,040167000,1,NA,NA,Vacant Land,0,Residential
483,40C027000,1,1935,NA,Single Family-1 Conversion,1,Residential
4830,340004000 | 340004000 | 340004000 | 340004000,4,1954,8506,Retail Store | Retail Store | Retail Store | Retail Store,1,Commercial | Commercial | Commercial | Commercial
4831,090049000,1,1939,NA,Single Family,1,Residential
4832,090134000,1,1880,NA,Fraternity\Sorority House,2,Residential
4834,130079000,1,1951,NA,Single Family,1,Residential
4835,090142000,1,1900,NA,Fraternity\Sorority House,2,Residential
4837,040151000,1,1920,NA,Duplex,1,Residential
4839,490063400,1,1956,NA,Single Family,1,Residential
484,43C034000,1,1958,NA,Single Family,1,Residential
4840,120015000,1,1949,NA,Single Family,1,Residential
4843,490066000,1,1926,NA,Single Family,1,Residential
4844,350119000,1,NA,NA,Parking Lot,0,Residential
4845,520017100,1,1963,NA,Single Family,1,Residential
4846,510010000,1,1936,NA,Single Family-1 Conversion,1,Residential
4847,490235100,1,NA,NA,Vacant Land,0,Residential
4848,510100100,1,1947,NA,Duplex,1,Residential
4849,340040000,1,1938,NA,Single Family,1,Residential
485,43B101000,1,1967,NA,Single Family,1,Residential
4850,350057100,1,1925,NA,Single Family,1,Residential
4851,340005000,1,1985,5010,Commercial,2,Commercial
4852,490100000,1,1953,NA,Single Family-1 Conversion,1,Residential
4853,340044000,1,1930,NA,Single Family,1,Residential
4854,040207000,1,1920,NA,Single Family,1,Residential
4855,040126000,1,1910,NA,Single Family,1,Residential
4856,340083000,1,1937,NA,Single Family,1,Residential
4857,520057000,1,1961,NA,Single Family,1,Residential
4858,350053000,1,1920,NA,Single Family,1,Residential
486,41D010000,1,1957,NA,Single Family,1,Residential
4860,340048000,1,1955,NA,Single Family,1,Residential
4862,340045000,1,1930,NA,Single Family,1,Residential
4864,490241000,1,1977,7040,Office Building,2,Commercial
4865,130080000,1,1951,NA,Single Family,1,Residential
4866,040163000,1,1920,NA,Single Family,1,Residential
4867,520078000,1,1858,NA,Single Family-2 Conversion,2,Residential
4868,310003000,1,NA,NA,Vacant Land,0,Residential
487,40C114000,1,1959,NA,Single Family,1,Residential
4870,490063300,1,1956,NA,Single Family,1,Residential
4872,040168000,1,1920,NA,Single Family,1,Residential
4873,090051000,1,1920,NA,Single Family,1,Residential
4874,490058000,1,1954,NA,Single Family,1,Residential
4875,120016000,1,1951,NA,Single Family,1,Residential
4876,490069000,1,1900,NA,Single Family,1,Residential
4877,490072000,1,1934,NA,Single Family,1,Residential
4879,510100000,1,1973,NA,Duplex,1,Residential
488,40C019000,1,1959,NA,Single Family,1,Residential
4880,490239000,1,NA,NA,Vacant Land,0,Residential
4881,040206000 | 040206000,2,0,NA,Vacant Land | Vacant Land,0,Residential | Residential
4882,520090000,1,1937,NA,Single Family,1,Residential
4884,350118000,1,NA,NA,Vacant Land,0,Residential
4885,350054000,1,NA,NA,Vacant Land,0,Residential
4886,120035000,1,1962,NA,Single Family,1,Residential
4887,520061000,1,1987,NA,Single Family,1,Residential
4888,510093000,1,1906,NA,Single Family,1,Residential
4889,510012000,1,1939,NA,Single Family,1,Residential
489,41D013000,1,1957,NA,Single Family,1,Residential
4890,090136000,1,1920,NA,Fraternity\Sorority House,2,Residential
4891,490069A00,1,1954,NA,Single Family,1,Residential
4892,490063200,1,1956,NA,Single Family,1,Residential
4894,040152000,1,1969,3442,Clubhouse,2,Commercial
4895,120034000,1,1934,NA,Single Family-1 Conversion,1,Residential
