,parcel_area-objectid,parcel_area-assessment,parcel_area-geoparcelidentificationnumber,parcel_area-legaldescription,parcel_area-lotsquarefeet,parcelnumber,parcel_area-zoning,real_estate_commercial-recordid_int,usecode,yearbuilt,real_estate_commercial-grossarea,real_estate_commercial-storyheight,real_estate_commercial-numberofstories
11673,6450,446000,7744,LOT 5,0.0,540173000,R-1S,,,,,,
11674,6473,234000,7777,LOT 5,5270.76,540139000,DN,,,,,,
11675,6486,262200,7792,LOT 13 BK B ARBOR HILLS,0.0,550075290,R-1S,,,,,,
11676,6503,264300,7815,LOT C BK B GOLF CLUB,0.0,550015000,R-1S,,,,,,
11677,6521,284300,7835,LOT 10 BK B ARBOR HILLS,0.0,550075260,R-1S,,,,,,
11678,6530,247100,7843,LOT 9 BK B OLD FARM,0.0,540219000,R-1S,,,,,,
11679,6585,250300,7900,LOT 10 BK B OLD FARM,0.0,540218000,R-1S,,,,,,
11680,6586,273100,7901,LOT 8 BK B ARBOR HILLS,0.0,550075240,R-1S,,,,,,
11681,6600,293500,7915,LOT 4 BK 7 THE FARM,0.0,540240000,R-1S,,,,,,
11682,6610,289600,7929,LOT 10 BK A ARBOR HILLS,0.0,550075700,R-1S,,,,,,
11683,6617,271500,7936,LOT 3 BK C OLD FARM,0.0,540242000,R-1S,,,,,,
11684,6643,293600,7963,LOT 1 BK B OLD FARM,0.0,540213000,R-1S,,,,,,
11685,6661,562700,7981,LOT 21 PIEDMONT,0.0,170009110,R-2U,515.0,Apartments 1-10 units,1933.0,3424.0,10.0,2.0
11686,6666,507400,14069,LOT 5 RIVERBLUFF,0.0,55A088650,PUD,,,,,,
11687,6693,304600,8015,LOT 8 BK A ARBOR HILLS,0.0,550075900,R-1S,,,,,,
11688,6714,454200,14064,LOT 21 RIVERBLUFF,0.0,55A088621,PUD,,,,,,
11689,6724,208000,8048,LOT 1 BK C OLD FARM,0.0,540245000,R-1S,,,,,,
11690,6776,135000,14068,LOT 17 RIVERBLUFF,0.0,55A088617,PUD,,,,,,
11691,6781,227000,8117,LOT 1A  BK B ARBOR HILLS,0.0,550075170,R-1S,,,,,,
11692,6815,212000,8154,LOT 7 BK D OLD FARM,0.0,540259000,R-1S,,,,,,
11693,6902,321400,8251,LOT 11 BK 7 THE FARM,0.0,540248000,R-1S,,,,,,
11694,6915,535000,14076,LOT 16 RIVERBLUFF,0.0,55A088616,PUD,,,,,,
11695,6948,148200,8311,LOT 12L RIVERVIEW,0.0,55A088380,R-2,,,,,,
11696,6981,143700,8340,LOT 12R RIVERVIEW,0.0,55A088370,R-2,,,,,,
11697,7009,323400,8370,LOT 25 PIEDMONT,9191.16,170009150,R-2U,,,,,,
11698,7010,157300,8373,LOT 14L RIVERVIEW,0.0,55A088340,R-2,,,,,,
11699,7021,502300,8384,.908 ACRES GOLF CLUB,0.0,55A087000,R-1S,,,,,,
11700,7025,219500,8390,LOT A GOLF CLUB,0.0,550021200,R-1S,,,,,,
11701,7028,162200,8394,LOT 14R RIVERVIEW,0.0,55A088330,R-2,,,,,,
11702,7029,386500,8395,LOT 2A GOLF CLUB,0.0,55A087100,R-1S,,,,,,
11703,8584,488600,14085,LOT 1 RIVER'S EDGE,0.0,55A0888A0,PUD,,,,,,
11704,8636,3000,10313,STRIP 394 SQ FT,392.04,570127100,R-2,,,,,,
11705,8714,167900,10404,LOT A  CARLTON,3354.12,570125000,B-2,,,,,,
11706,8765,407000,10464,LOTS 1 & 2 BK C HUNTLEY HALL,19253.52,18A020000,R-2,,,,,,
11707,8887,250200,10614,"LOT 20, PARCEL A BK B JEFFERSO",17162.64,570123550,R-1S,,,,,,
11708,8917,341500,17467,LOT 22 BELMONT STATION,0.0,570123022,B-2,,,,,,
11709,8929,191300,10665,LOT 3 BK A JEFFERSON HILLS,8450.64,570123140,R-1S,,,,,,
11710,8960,224000,10699,LOT 8 & PT 7 BK 19 BELMONT,0.0,570067000,R-1S,,,,,,
11711,8966,169400,10707,LOT 3A BK C JEFFERSON HILLS,4312.44,570123501,R-1S,,,,,,
11712,8986,266400,10729,LOT K WOOLEN MILLS,0.0,560124000,R-1SC,,,,,,
11713,8993,400400,10736,LOT 9 BK 19 BELMONT,0.0,570066000,R-1S,,,,,,
11714,8996,351300,10740,LOTS 1 & 2 BK B HUNTLEY HALL,39291.12,18A026000,R-2,,,,,,
11715,9017,204900,10760,LOT 15 BK 19 BELMONT,6054.84,570081000,R-1S,,,,,,
11716,9030,277900,10775,LOT 7 BK B SEC 1 JOHNSON VILL,0.0,22A038000,R-1,,,,,,
11717,9044,206000,10790,PT LOTS 1 & 2 BK 24 BELMONT,6054.84,600001000,R-1S,,,,,,
11718,9061,211300,10808,LOTS 1 & 2 BK 20 BELMONT,0.0,570102000,R-1S,,,,,,
11719,9072,275400,10822,LOT 18 BK 23 BELMONT,6054.84,590236100,R-1S,,,,,,
11720,9084,483300,10838,LOT 18 BK 19 BELMONT,6054.84,570084000,R-1S,,,,,,
11721,9087,210600,10841,LOT 17 BK B JEFFERSON HILLS,11761.2,570123580,R-1S,,,,,,
11722,9095,298600,10850,LOT 11 BK C SEC 1 JOHNSON VILL,0.0,22A061000,R-1,,,,,,
11723,9127,247900,10886,LOT 4 BK 29 BELMONT,6054.84,590245000,R-1S,,,,,,
11724,9150,193300,10913,LOT 6 BK A JEFFERSON HILLS,8624.88,570123170,R-1S,,,,,,
11725,9155,197800,10918,LOT 7 BK B JEFFERSON HILLS,7666.56,570123500,R-1S,,,,,,
11726,9200,276000,10966,LOT 10 BK B SEC 1 JOHNSON VILL,0.0,22A041000,R-1,,,,,,
11727,9206,479600,14333,LOT 11 PH 2 HUNTLEY,0.0,18A136000,PUD,,,,,,
11728,9218,200000,10983,LOT 7 BK A JEFFERSON HILLS,7666.56,570123180,R-1S,,,,,,
11729,9227,431100,14345,LOT 12 PH 2 HUNTLEY,0.0,18A137000,PUD,,,,,,
11730,9228,229500,10990,LOT B BK 24 BELMONT,6054.84,600014000,R-1S,,,,,,
11731,9231,236600,10900,LOTS 25&26 BK 7 CARLTON,10802.88,560056000,R-1S,,,,,,
11732,9247,288700,11008,LOT 1 BK 20 BELMONT,0.0,570088000,R-1S,,,,,,
11733,9249,202300,11010,LOT 9 BK 24 BELMONT,6054.84,600007000,R-1S,,,,,,
11734,9254,330900,11016,PT LOTS 13-15 BK 20 BELMONT,0.0,570090000,R-1S,,,,,,
11735,9279,288200,11042,LOT 11 BK B SEC 4 JOHNSON VILL,0.0,22A042000,R-1,,,,,,
11736,9287,71900,11053,PT LOT 14 BK 34 BELMONT,4791.6,590182000,R-1S,,,,,,
11737,9297,196300,11067,LOT 8 BK A JEFFERSON HILLS,8319.96,570123190,R-1S,,,,,,
